,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,level_0,index,song,artist,track_id
900,0.355,0.00556,3,-30.178,1,0.0417,0.993,0.925,0.0963,0.311,70.929,audio_features,2fjuj3kg9UrLIlhkcDag05,spotify:track:2fjuj3kg9UrLIlhkcDag05,https://api.spotify.com/v1/tracks/2fjuj3kg9UrLIlhkcDag05,https://api.spotify.com/v1/audio-analysis/2fjuj3kg9UrLIlhkcDag05,146408,4,900,900,Amble,Charlie J Perry,2fjuj3kg9UrLIlhkcDag05
901,0.142,0.0356,6,-28.69,1,0.0411,0.972,0.925,0.098,0.253,69.138,audio_features,7jOQz0twc8MXAMib4iIy7u,spotify:track:7jOQz0twc8MXAMib4iIy7u,https://api.spotify.com/v1/tracks/7jOQz0twc8MXAMib4iIy7u,https://api.spotify.com/v1/audio-analysis/7jOQz0twc8MXAMib4iIy7u,202725,4,901,901,Dream 13 - Short Edit,Max Richter,7jOQz0twc8MXAMib4iIy7u
902,0.392,0.0152,6,-30.684,0,0.0424,0.996,0.885,0.081,0.12,74.963,audio_features,2mNQl3DEWtkrwKllwYpxi0,spotify:track:2mNQl3DEWtkrwKllwYpxi0,https://api.spotify.com/v1/tracks/2mNQl3DEWtkrwKllwYpxi0,https://api.spotify.com/v1/audio-analysis/2mNQl3DEWtkrwKllwYpxi0,359464,4,902,902,"Pavane, Op. 50 (Version for Piano)",Gabriel Fauré,2mNQl3DEWtkrwKllwYpxi0
903,0.263,0.145,10,-19.009,0,0.0404,0.963,0.675,0.115,0.136,116.06,audio_features,70MlCRz6vWvAynrz0EDVr3,spotify:track:70MlCRz6vWvAynrz0EDVr3,https://api.spotify.com/v1/tracks/70MlCRz6vWvAynrz0EDVr3,https://api.spotify.com/v1/audio-analysis/70MlCRz6vWvAynrz0EDVr3,256293,4,903,903,Fountain of People's Hope,Tunde Jegede,70MlCRz6vWvAynrz0EDVr3
904,0.148,0.096,7,-23.845,1,0.0378,0.982,0.089,0.319,0.0537,69.971,audio_features,50LqUYIes3bfMQ7mSHrXzA,spotify:track:50LqUYIes3bfMQ7mSHrXzA,https://api.spotify.com/v1/tracks/50LqUYIes3bfMQ7mSHrXzA,https://api.spotify.com/v1/audio-analysis/50LqUYIes3bfMQ7mSHrXzA,128693,4,904,904,Martyrdom - Movement 1,Calum Martin,50LqUYIes3bfMQ7mSHrXzA
905,0.57,0.158,0,-21.329,1,0.0292,0.921,0.927,0.0717,0.434,76.621,audio_features,0d7dpG6tUWelr6FiWwF9uy,spotify:track:0d7dpG6tUWelr6FiWwF9uy,https://api.spotify.com/v1/tracks/0d7dpG6tUWelr6FiWwF9uy,https://api.spotify.com/v1/audio-analysis/0d7dpG6tUWelr6FiWwF9uy,163865,4,905,905,Maribel,Oskar Schuster,0d7dpG6tUWelr6FiWwF9uy
906,0.0906,0.0817,8,-24.389,1,0.0375,0.969,0.927,0.062,0.0757,165.349,audio_features,5Fe2pvSESMAop2EP1b2f3l,spotify:track:5Fe2pvSESMAop2EP1b2f3l,https://api.spotify.com/v1/tracks/5Fe2pvSESMAop2EP1b2f3l,https://api.spotify.com/v1/audio-analysis/5Fe2pvSESMAop2EP1b2f3l,233253,4,906,906,Haar over Hamnavoe - Bill Ryder-Jones Rework,Erland Cooper,5Fe2pvSESMAop2EP1b2f3l
907,0.434,0.0599,5,-27.627,1,0.0423,0.985,0.839,0.107,0.183,124.658,audio_features,3bMks007brAPs3uP8Vq9tu,spotify:track:3bMks007brAPs3uP8Vq9tu,https://api.spotify.com/v1/tracks/3bMks007brAPs3uP8Vq9tu,https://api.spotify.com/v1/audio-analysis/3bMks007brAPs3uP8Vq9tu,185000,4,907,907,Willow,Marie Denis,3bMks007brAPs3uP8Vq9tu
908,0.222,0.0456,10,-20.891,0,0.0385,0.993,0.964,0.231,0.0881,128.662,audio_features,5bhbv1xIbk0SbfQ2MEXe8F,spotify:track:5bhbv1xIbk0SbfQ2MEXe8F,https://api.spotify.com/v1/tracks/5bhbv1xIbk0SbfQ2MEXe8F,https://api.spotify.com/v1/audio-analysis/5bhbv1xIbk0SbfQ2MEXe8F,251573,4,908,908,Dappled Light,Luke Howard,5bhbv1xIbk0SbfQ2MEXe8F
909,0.646,0.0322,10,-26.415,1,0.0404,0.994,0.921,0.1,0.323,120.026,audio_features,42qcDdQ4VWeLCLjrF9BBRN,spotify:track:42qcDdQ4VWeLCLjrF9BBRN,https://api.spotify.com/v1/tracks/42qcDdQ4VWeLCLjrF9BBRN,https://api.spotify.com/v1/audio-analysis/42qcDdQ4VWeLCLjrF9BBRN,159500,4,909,909,Fonteyn,Rachel Sandy,42qcDdQ4VWeLCLjrF9BBRN
910,0.359,0.0539,9,-25.798,1,0.0628,0.995,0.94,0.0698,0.136,68.23,audio_features,02yvSF783YP2YcEzsDsEIc,spotify:track:02yvSF783YP2YcEzsDsEIc,https://api.spotify.com/v1/tracks/02yvSF783YP2YcEzsDsEIc,https://api.spotify.com/v1/audio-analysis/02yvSF783YP2YcEzsDsEIc,126027,4,910,910,Reminiscence,Dr Jess Duckworth,02yvSF783YP2YcEzsDsEIc
911,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,audio_features,419qlOGNXoyICx4jO0hqaj,spotify:track:419qlOGNXoyICx4jO0hqaj,https://api.spotify.com/v1/tracks/419qlOGNXoyICx4jO0hqaj,https://api.spotify.com/v1/audio-analysis/419qlOGNXoyICx4jO0hqaj,174653,4,911,911,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,419qlOGNXoyICx4jO0hqaj
912,0.427,0.112,10,-23.32,1,0.0309,0.956,0.937,0.14,0.163,101.538,audio_features,7MHk4dqq9IjK8luSzaOjT6,spotify:track:7MHk4dqq9IjK8luSzaOjT6,https://api.spotify.com/v1/tracks/7MHk4dqq9IjK8luSzaOjT6,https://api.spotify.com/v1/audio-analysis/7MHk4dqq9IjK8luSzaOjT6,122791,3,912,912,Angel,Czarina Frost,7MHk4dqq9IjK8luSzaOjT6
